object_id,route_id,geom
1415,1524,POINT (-122.435433721674 37.7691099908831)
5095,1448,POINT (-122.405921865852 37.7867161605445)
4827,8247,POINT (-122.414599737017 37.7714011528151)
3776,13604,POINT (-122.453971024122 37.7448420130696)
4818,13659,POINT (-122.406849390897 37.7726978473968)
3663,4798,POINT (-122.39030445051 37.7527114647077)
4970,3852,POINT (-122.423295055362 37.7867037624335)
4976,2964,POINT (-122.41936766645 37.7570272659437)
117,11468,POINT (-122.392956315464 37.7713493936673)
5092,14640,POINT (-122.405415004419 37.7913442504561)
4821,11304,POINT (-122.40416448239 37.772916831304)
1817,13223,POINT (-122.393729719883 37.7704394076033)
5089,6237,POINT (-122.411341266509 37.7898541893443)
114,12753,POINT (-122.393499137614 37.7723786835249)
3770,8018,POINT (-122.404535432658 37.7931914019559)
4714,15959,POINT (-122.420967644301 37.7545434540442)
4866,2904,POINT (-122.479660293375 37.7531517197258)
4854,10982,POINT (-122.441458057912 37.7972997000222)
4732,16496,POINT (-122.414621190329 37.8021919506253)
4726,2404,POINT (-122.414574703286 37.7508786395707)
4851,2259,POINT (-122.408537936897 37.7756995247547)
4869,1370,POINT (-122.503265022212 37.7373225898699)
4750,3134,POINT (-122.396672483464 37.7917694822522)
1707,3328,POINT (-122.465200965794 37.7401997579917)
1,636,POINT (-122.476822605137 37.7505245718746)
4747,7846,POINT (-122.39128334436 37.7841133802529)
4744,10138,POINT (-122.404497959763 37.7883794416808)
16,603,POINT (-122.494981901435 37.7647068644215)
4982,93,POINT (-122.417154075584 37.7612442125244)
4762,10361,POINT (-122.435085525376 37.7215945513812)
1371,8544,POINT (-122.4587470726 37.7182924927743)
4887,2173,POINT (-122.426356255942 37.7638387435279)
4768,5930,POINT (-122.440180540063 37.7215439281039)
5021,3011,POINT (-122.412162115465 37.7623555143033)
1374,9409,POINT (-122.454548644302 37.7176920397535)
5018,2781,POINT (-122.423332380002 37.7826085569546)
4884,1990,POINT (-122.424620841853 37.7649959512534)
5036,14756,POINT (-122.416759216241 37.7696675881793)
4759,8277,POINT (-122.431286757137 37.7229975741053)
4914,5907,POINT (-122.403599529494 37.7839724958886)
1365,13355,POINT (-122.4533630886 37.728523357521)
1502,9459,POINT (-122.412685160837 37.7854008872522)
4780,4170,POINT (-122.438548587662 37.7343692079131)
4756,5483,POINT (-122.428257368838 37.728957191817)
1612,13702,POINT (-122.49154625171 37.7338319238387)
1868,1243,POINT (-122.422276005137 37.75282087476)
4771,12267,POINT (-122.441554449316 37.7282766994244)
5045,8154,POINT (-122.425994275107 37.7327931198598)
1880,2032,POINT (-122.49039779769 37.7840096499306)
5033,14891,POINT (-122.415169481196 37.7686057908254)
4783,5031,POINT (-122.44422846454 37.7449687692301)
5072,16934,POINT (-122.423149918511 37.7246123072374)
3497,8431,POINT (-122.403898714212 37.7289079710763)
4792,8457,POINT (-122.421809868898 37.7499462886905)
2833,2859,POINT (-122.417351985858 37.7486239194537)
5069,14381,POINT (-122.408237654212 37.7453284935207)
3762,187,POINT (-122.401575343079 37.7951248537232)
5078,4264,POINT (-122.444696829489 37.7442566030285)
4816,5056,POINT (-122.407474294151 37.774728184427)
5066,4520,POINT (-122.40652806639 37.7466071345516)
4795,106,POINT (-122.418182865733 37.7715171893022)
4786,9822,POINT (-122.41639325027 37.7459819174425)
2848,9615,POINT (-122.509546660241 37.7613121725865)
3881,11042,POINT (-122.407575994589 37.7389782598055)
3771,6399,POINT (-122.391155961495 37.7336166802466)
5093,9525,POINT (-122.404317764658 37.7878856047548)
4843,8519,POINT (-122.435014168359 37.798115807077)
4712,15960,POINT (-122.421111115465 37.7561223057425)
4819,1686,POINT (-122.405883578121 37.7734698897619)
5105,13482,POINT (-122.413470650568 37.8085506939915)
4953,8371,POINT (-122.41784749033 37.7847649043663)
4822,13656,POINT (-122.408936375644 37.7710344878336)
4968,15855,POINT (-122.421565174987 37.7861884153162)
4959,6747,POINT (-122.419787228957 37.7659365354521)
5090,6238,POINT (-122.409690302091 37.7900754682322)
4715,11448,POINT (-122.421523974987 37.7545315190632)
4849,2020,POINT (-122.408707398807 37.7774201917272)
4974,33,POINT (-122.42104542418 37.7876888833521)
4971,3040,POINT (-122.422489402749 37.7584491553254)
