"Route ID:","Route Location:","X (Longitude)","Y (Latitude)"
14853,"12TH AVE BETWEEN MORAGA ST AND NORIEGA ST",-122.46896046,37.75582784
940,"12TH AVE BETWEEN START: 1-99 BLOCK AND LAKE ST",-122.47112552,37.78653853
14758,"13TH ST BETWEEN BERNICE ST AND ISIS ST",-122.4144714,37.76954874
14756,"13TH ST BETWEEN FOLSOM ST AND SOUTH VAN NESS AVE",-122.41667976,37.76965665
14753,"13TH ST BETWEEN HWY 101 S ON RAMP AND MISSION ST",-122.41906638,37.76995893
14757,"13TH ST BETWEEN ISIS ST AND FOLSOM ST",-122.41519907,37.76957448
744,"14TH AVE BETWEEN 15TH AVE AND NORIEGA ST",-122.47095139,37.75606045
791,"14th Ave BETWEEN Balboa St AND Cabrillo St",-122.47250309,37.77591161
788,"14th Ave BETWEEN Irving St AND Judah St",-122.4716027,37.76287077
771,"14TH AVE BETWEEN JUDAH ST AND KIRKHAM ST",-122.47147309,37.76100773
740,"14TH AVE BETWEEN MOUNT LN AND PACHECO ST",-122.47108619,37.7534382
711,"14th Ave BETWEEN Rockridge Dr AND Quintara St",-122.47081762,37.74931809
14914,"14TH AVE BETWEEN TARAVAL ST AND ULLOA ST",-122.47016993,37.74235714
14902,"14TH AVE BETWEEN WAWONA ST AND WEST PORTAL AVE",-122.46936185,37.73823758
14901,"14TH AVE BETWEEN WEST PORTAL AVE AND PORTOLA DR",-122.46868314,37.73769352
657,"14TH ST BETWEEN CHURCH ST AND BELCHER ST",-122.42952511,37.76769565
709,"14TH ST BETWEEN GUERRERO ST AND RAMONA ST",-122.42488261,37.76797807
14851,"14TH ST BETWEEN MISSION ST AND VALENCIA ST",-122.42037906,37.76824964
642,"14TH ST BETWEEN ROOSEVELT WAY AND BUENA VISTA TER",-122.43774927,37.76719024
14891,"14Th St BETWEEN Trainor St AND Folsom St",-122.41507693,37.76856979
625,"15TH AVE BETWEEN ANZA ST AND BALBOA ST",-122.47376553,37.77772286
626,"15TH AVE BETWEEN GEARY BLVD AND ANZA ST",-122.4739077,37.77961419
609,"15TH AVE BETWEEN LINCOLN WAY AND IRVING ST",-122.47285622,37.76469676
580,"15TH AVE BETWEEN MORAGA ST AND NORIEGA ST",-122.47258296,37.75606728
641,"15TH AVE BETWEEN NORTH 15TH AVE AND LAKE ST",-122.47440491,37.78660664
565,"15TH AVE BETWEEN PACHECO ST AND QUINTARA ST",-122.47181392,37.74976867
542,"15th Ave BETWEEN Wawona St AND West Portal Ave",-122.47084528,37.73708867
541,"15TH AVE BETWEEN WEST PORTAL AVE AND PORTOLA DR",-122.47025781,37.73638791
4378,"15th St BETWEEN Church St AND Sanchez St",-122.42937263,37.76609654
499,"15TH ST BETWEEN FOLSOM ST AND SOUTH VAN NESS AVE",-122.41600533,37.76690427
479,"15TH ST BETWEEN GUERRERO ST AND RAMONA ST",-122.42472912,37.7663773
4378,"15TH ST BETWEEN MARKET ST AND SANCHEZ ST",-122.43093109,37.76600503
497,"15th St BETWEEN Mission St AND South Van Ness Ave",-122.41890308,37.7667293
512,"15TH ST BETWEEN POTRERO AVE AND HAMPSHIRE ST",-122.40813367,37.76705519
449,"16TH AVE BETWEEN IRVING ST AND JUDAH ST",-122.47384797,37.7627721
435,"16TH AVE BETWEEN JUDAH ST AND KIRKHAM ST",-122.47371759,37.76090828
450,"16TH AVE BETWEEN LINCOLN WAY AND IRVING ST",-122.4739792,37.76464793
445,"16TH AVE BETWEEN LOMITA AVE AND MORAGA ST",-122.47356858,37.75654217
12237,"16TH AVE BETWEEN ORTEGA ST AND PACHECO ST",-122.47306788,37.75158558
4418,"16TH AVE BETWEEN QUINTARA ST AND RIVERA ST",-122.47280763,37.74785411
4417,"16TH AVE BETWEEN RIVERA ST AND SANTIAGO ST",-122.47282195,37.74598192
4403,"16TH ST BETWEEN 03RD ST AND 06TH ST",-122.38994814,37.76685296
417,"16th St BETWEEN Church St AND Sanchez St",-122.42904649,37.76448455
429,"16Th St BETWEEN Florida St AND Alabama St",-122.41193584,37.76551871
423,"16th St BETWEEN Guerrero St AND Dolores St",-122.42547804,37.76470032
431,"16th St BETWEEN Kansas St AND Vermont St",-122.4041332,37.76598763
3807,"16th St BETWEEN Mississippi St AND Missouri St",-122.39659335,37.76644893
12232,"16TH ST BETWEEN MISSOURI ST AND WISCONSIN ST",-122.39738024,37.76639965
414,"16TH ST BETWEEN POND ST AND MARKET ST",-122.43267991,37.76425601
12228,"16TH ST BETWEEN RHODE ISLAND ST AND KANSAS ST",-122.40316401,37.76604584
416,"16TH ST BETWEEN SANCHEZ ST AND PROSPER ST",-122.43198234,37.76430406
423,"16TH ST BETWEEN SPENCER ALY AND DOLORES ST",-122.42547804,37.76470032
3390,"16TH ST BETWEEN TERRY A FRANCOIS BLVD AND ILLINOIS ST",-122.38714988,37.76701695
4437,"17th Ave BETWEEN Cabrillo St AND Fulton St",-122.4756823,37.77389521
4428,"17TH AVE BETWEEN MORAGA ST AND NORIEGA ST",-122.47439915,37.75526819
4426,"17TH AVE BETWEEN ORTEGA ST AND PACHECO ST",-122.47414022,37.75153803
4425,"17TH AVE BETWEEN PACHECO ST AND QUINTARA ST",-122.47401048,37.7496719
12181,"17TH ST BETWEEN ALBION ST AND DEARBORN ST",-122.42288679,37.76323225
359,"17TH ST BETWEEN CLAYTON ST AND BELVEDERE ST",-122.44728188,37.76175392
12203,"17TH ST BETWEEN CONNECTICUT ST AND ARKANSAS ST",-122.39822037,37.76504308
12180,"17TH ST BETWEEN DEARBORN ST AND GUERRERO ST",-122.42351708,37.7631945
12173,"17th St BETWEEN Douglass St AND Ord St",-122.4398298,37.76220672
12183,"17TH ST BETWEEN HOFF ST AND VALENCIA ST",-122.42108217,37.76333766
12197,"17TH ST BETWEEN KANSAS ST AND VERMONT ST",-122.40401201,37.76469359
12184,"17TH ST BETWEEN MISSION ST AND HOFF ST",-122.41997278,37.76340241
360,"17TH ST BETWEEN MONUMENT WAY AND CLAYTON ST",-122.44658372,37.76179892
12208,"17TH ST BETWEEN PENNSYLVANIA AVE AND MISSISSIPPI ST",-122.39433837,37.76527716
12198,"17TH ST BETWEEN RHODE ISLAND ST AND KANSAS ST",-122.40304522,37.76475195
12161,"17TH ST BETWEEN TEMPLE ST AND MARS ST",-122.44377746,37.76197169
4488,"18TH AVE BETWEEN ANZA ST AND BALBOA ST",-122.47703236,37.77757458
12150,"18TH AVE BETWEEN CABRILLO ST AND FULTON ST",-122.47676188,37.77384584
12154,"18TH AVE BETWEEN CALIFORNIA ST AND CLEMENT ST",-122.47744183,37.78329153
12153,"18th Ave BETWEEN Clement St AND Geary Blvd",-122.4773071,37.7814001
12145,"18TH AVE BETWEEN LAWTON ST AND MORAGA ST",-122.47560129,37.75708442
12149,"18TH AVE BETWEEN LINCOLN WAY AND IRVING ST",-122.47612051,37.7645536
12142,"18th Ave BETWEEN Ortega St AND Pacheco St",-122.47521148,37.75149052
12137,"18th Ave BETWEEN Taraval St AND Ulloa St",-122.47455903,37.74216544
12136,"18TH AVE BETWEEN ULLOA ST AND VICENTE ST",-122.4744294,37.74030282
340,"18TH AVE BETWEEN VICENTE ST AND WAWONA ST",-122.47429865,37.73842384
4464,"18th St BETWEEN Arkansas St AND Carolina St",-122.39942518,37.76240466
12114,"18TH ST BETWEEN CHURCH ST AND SANCHEZ ST",-122.42946382,37.76122253
4498,"18TH ST BETWEEN CLOVER ST AND DANVERS ST",-122.44246928,37.76043247
4465,"18TH ST BETWEEN CONNECTICUT ST AND ARKANSAS ST",-122.3979781,37.76249204
12105,"18TH ST BETWEEN DIAMOND ST AND EUREKA ST",-122.437728,37.76072521
4500,"18th St BETWEEN Douglass St AND Hattie St",-122.43967385,37.76060583
4502,"18TH ST BETWEEN EUREKA ST AND DOUGLASS ST",-122.4388011,37.76065952
4506,"18TH ST BETWEEN GUERRERO ST AND OAKWOOD ST",-122.42441276,37.76152842
12123,"18TH ST BETWEEN HAMPSHIRE ST AND YORK ST",-122.40867166,37.76184653
339,"18TH ST BETWEEN ILLINOIS ST AND 03RD ST",-122.3882664,37.76307775
12128,"18TH ST BETWEEN KANSAS ST AND VERMONT ST",-122.40377533,37.76214189
12117,"18TH ST BETWEEN LEXINGTON ST AND VALENCIA ST",-122.42119557,37.7617242
